Pair,Horizon,Magnitude,Position,Threshold,Low,High
GBPUSD,1,1,1,0.01,0.61,0.95
GBPUSD,1,1,2,0.02,0.65,0.98
GBPUSD,1,1,3,0.03,0.42,0.65
GBPUSD,1,1,4,0.04,0.30,0.69
GBPUSD,1,1,5,0.05,0.42,0.61
GBPUSD,1,2,6,0.1,0.40,0.67
GBPUSD,1,2,7,0.2,0.33,0.60
GBPUSD,1,2,8,0.3,0.31,0.62
GBPUSD,1,2,9,0.4,0.36,0.70
GBPUSD,1,2,10,0.5,0.35,0.65
GBPUSD,2,1,1,0.01,0.43,0.82
GBPUSD,2,1,2,0.02,0.44,0.84
GBPUSD,2,1,3,0.03,0.47,0.84
GBPUSD,2,1,4,0.04,0.32,0.59
GBPUSD,2,1,5,0.05,0.28,0.59
GBPUSD,2,2,6,0.1,0.32,0.56
GBPUSD,2,2,7,0.2,0.34,0.54
GBPUSD,2,2,8,0.3,0.34,0.57
GBPUSD,2,2,9,0.4,0.28,0.57
GBPUSD,2,2,10,0.5,0.33,0.57
GBPUSD,2,3,11,1.0,0.38,0.62
GBPUSD,3,1,1,0.01,0.50,0.75
GBPUSD,3,1,2,0.02,0.49,0.76
GBPUSD,3,1,3,0.03,0.49,0.79
GBPUSD,3,1,4,0.04,0.28,0.53
GBPUSD,3,1,5,0.05,0.31,0.54
GBPUSD,3,2,6,0.1,0.33,0.54
GBPUSD,3,2,7,0.2,0.31,0.57
GBPUSD,3,2,8,0.3,0.33,0.50
GBPUSD,3,2,9,0.4,0.28,0.54
GBPUSD,3,2,10,0.5,0.33,0.54
GBPUSD,3,3,11,1.0,0.34,0.60
GBPUSD,3,3,12,1.5,0.43,0.70
GBPUSD,4,1,1,0.01,0.42,0.72
GBPUSD,4,1,2,0.02,0.46,0.72
GBPUSD,4,1,3,0.03,0.46,0.75
GBPUSD,4,1,4,0.04,0.39,0.72
GBPUSD,4,1,5,0.05,0.51,0.73
GBPUSD,4,2,6,0.1,0.24,0.48
GBPUSD,4,2,7,0.2,0.27,0.52
GBPUSD,4,2,8,0.3,0.24,0.48
GBPUSD,4,2,9,0.4,0.28,0.51
GBPUSD,4,2,10,0.5,0.30,0.54
GBPUSD,4,3,11,1.0,0.32,0.55
GBPUSD,4,3,12,1.5,0.34,0.60
GBPUSD,5,1,1,0.01,0.44,0.69
GBPUSD,5,1,2,0.02,0.39,0.68
GBPUSD,5,1,3,0.03,0.39,0.66
GBPUSD,5,1,4,0.04,0.40,0.66
GBPUSD,5,1,5,0.05,0.43,0.66
GBPUSD,5,2,6,0.1,0.25,0.50
GBPUSD,5,2,7,0.2,0.22,0.44
GBPUSD,5,2,8,0.3,0.25,0.49
GBPUSD,5,2,9,0.4,0.21,0.50
GBPUSD,5,2,10,0.5,0.22,0.46
GBPUSD,5,3,11,1.0,0.29,0.50
GBPUSD,5,3,12,1.5,0.26,0.56
GBPUSD,5,3,13,2.0,0.36,0.72
GBPUSD,6,1,1,0.01,0.37,0.64
GBPUSD,6,1,2,0.02,0.30,0.65
GBPUSD,6,1,3,0.03,0.39,0.70
GBPUSD,6,1,4,0.04,0.39,0.67
GBPUSD,6,1,5,0.05,0.41,0.63
GBPUSD,6,2,6,0.1,0.29,0.51
GBPUSD,6,2,7,0.2,0.23,0.51
GBPUSD,6,2,8,0.3,0.27,0.51
GBPUSD,6,2,9,0.4,0.19,0.43
GBPUSD,6,2,10,0.5,0.28,0.45
GBPUSD,6,3,11,1.0,0.24,0.54
GBPUSD,6,3,12,1.5,0.33,0.50
GBPUSD,6,3,13,2.0,0.31,0.53
GBPUSD,6,3,14,2.5,0.37,0.66
GBPUSD,7,1,1,0.01,0.36,0.62
GBPUSD,7,1,2,0.02,0.39,0.61
GBPUSD,7,1,3,0.03,0.41,0.63
GBPUSD,7,1,4,0.04,0.37,0.63
GBPUSD,7,1,5,0.05,0.44,0.63
GBPUSD,7,2,6,0.1,0.28,0.49
GBPUSD,7,2,7,0.2,0.23,0.48
GBPUSD,7,2,8,0.3,0.22,0.43
GBPUSD,7,2,9,0.4,0.27,0.41
GBPUSD,7,2,10,0.5,0.26,0.49
GBPUSD,7,3,11,1.0,0.31,0.50
GBPUSD,7,3,12,1.5,0.30,0.50
GBPUSD,7,3,13,2.0,0.29,0.51
GBPUSD,7,3,14,2.5,0.31,0.52
GBPUSD,7,3,15,3.0,0.47,0.65
GBPJPY,1,1,1,0.01,0.63,0.95
GBPJPY,1,1,2,0.02,0.45,0.66
GBPJPY,1,1,3,0.03,0.31,0.64
GBPJPY,1,1,4,0.04,0.43,0.62
GBPJPY,1,1,5,0.05,0.46,0.66
GBPJPY,1,2,6,0.1,0.23,0.61
GBPJPY,1,2,7,0.2,0.40,0.60
GBPJPY,1,2,8,0.3,0.31,0.62
GBPJPY,1,2,9,0.4,0.31,0.63
GBPJPY,1,2,10,0.5,0.27,0.60
GBPJPY,1,3,11,1.0,0.50,0.77
GBPJPY,2,1,1,0.01,0.52,0.82
GBPJPY,2,1,2,0.02,0.54,0.80
GBPJPY,2,1,3,0.03,0.48,0.81
GBPJPY,2,1,4,0.04,0.50,0.82
GBPJPY,2,1,5,0.05,0.35,0.59
GBPJPY,2,2,6,0.1,0.28,0.53
GBPJPY,2,2,7,0.2,0.23,0.53
GBPJPY,2,2,8,0.3,0.28,0.55
GBPJPY,2,2,9,0.4,0.36,0.56
GBPJPY,2,2,10,0.5,0.32,0.56
GBPJPY,2,3,11,1.0,0.28,0.61
GBPJPY,3,1,1,0.01,0.46,0.75
GBPJPY,3,1,2,0.02,0.37,0.73
GBPJPY,3,1,3,0.03,0.38,0.75
GBPJPY,3,1,4,0.04,0.46,0.78
GBPJPY,3,1,5,0.05,0.31,0.57
GBPJPY,3,2,6,0.1,0.28,0.52
GBPJPY,3,2,7,0.2,0.22,0.51
GBPJPY,3,2,8,0.3,0.29,0.49
GBPJPY,3,2,9,0.4,0.26,0.50
GBPJPY,3,2,10,0.5,0.15,0.53
GBPJPY,3,3,11,1.0,0.25,0.53
GBPJPY,3,3,12,1.5,0.32,0.64
GBPJPY,4,1,1,0.01,0.30,0.69
GBPJPY,4,1,2,0.02,0.28,0.70
GBPJPY,4,1,3,0.03,0.42,0.76
GBPJPY,4,1,4,0.04,0.45,0.73
GBPJPY,4,1,5,0.05,0.39,0.69
GBPJPY,4,2,6,0.1,0.23,0.46
GBPJPY,4,2,7,0.2,0.22,0.51
GBPJPY,4,2,8,0.3,0.26,0.47
GBPJPY,4,2,9,0.4,0.25,0.48
GBPJPY,4,2,10,0.5,0.26,0.48
GBPJPY,4,3,11,1.0,0.27,0.51
GBPJPY,4,3,12,1.5,0.34,0.60
GBPJPY,4,3,13,2.0,0.43,0.72
GBPJPY,5,1,1,0.01,0.40,0.65
GBPJPY,5,1,2,0.02,0.38,0.65
GBPJPY,5,1,3,0.03,0.33,0.62
GBPJPY,5,1,4,0.04,0.43,0.62
GBPJPY,5,1,5,0.05,0.36,0.65
GBPJPY,5,2,6,0.1,0.27,0.47
GBPJPY,5,2,7,0.2,0.22,0.46
GBPJPY,5,2,8,0.3,0.27,0.44
GBPJPY,5,2,9,0.4,0.12,0.49
GBPJPY,5,2,10,0.5,0.28,0.44
GBPJPY,5,3,11,1.0,0.26,0.50
GBPJPY,5,3,12,1.5,0.21,0.54
GBPJPY,5,3,13,2.0,0.36,0.64
GBPJPY,5,3,14,2.5,0.47,0.76
GBPJPY,6,1,1,0.01,0.36,0.61
GBPJPY,6,1,2,0.02,0.34,0.61
GBPJPY,6,1,3,0.03,0.38,0.61
GBPJPY,6,1,4,0.04,0.34,0.58
GBPJPY,6,1,5,0.05,0.38,0.58
GBPJPY,6,2,6,0.1,0.39,0.59
GBPJPY,6,2,7,0.2,0.23,0.45
GBPJPY,6,2,8,0.3,0.23,0.44
GBPJPY,6,2,9,0.4,0.26,0.43
GBPJPY,6,2,10,0.5,0.28,0.45
GBPJPY,6,3,11,1.0,0.21,0.45
GBPJPY,6,3,12,1.5,0.26,0.45
GBPJPY,6,3,13,2.0,0.27,0.48
GBPJPY,6,3,14,2.5,0.31,0.54
GBPJPY,6,3,15,3.0,0.30,0.61
GBPJPY,7,1,1,0.01,0.37,0.60
GBPJPY,7,1,2,0.02,0.34,0.63
GBPJPY,7,1,3,0.03,0.34,0.60
GBPJPY,7,1,4,0.04,0.37,0.59
GBPJPY,7,1,5,0.05,0.36,0.65
GBPJPY,7,2,6,0.1,0.29,0.61
GBPJPY,7,2,7,0.2,0.28,0.43
GBPJPY,7,2,8,0.3,0.23,0.45
GBPJPY,7,2,9,0.4,0.23,0.43
GBPJPY,7,2,10,0.5,0.26,0.44
GBPJPY,7,3,11,1.0,0.26,0.43
GBPJPY,7,3,12,1.5,0.25,0.44
GBPJPY,7,3,13,2.0,0.27,0.45
GBPJPY,7,3,14,2.5,0.26,0.50
GBPJPY,7,3,15,3.0,0.22,0.54
USDRUB,1,1,1,0.01,0.63,0.97
USDRUB,1,1,2,0.02,0.64,0.97
USDRUB,1,1,3,0.03,0.36,0.70
USDRUB,1,1,4,0.04,0.34,0.69
USDRUB,1,1,5,0.05,0.36,0.67
USDRUB,1,2,6,0.1,0.40,0.64
USDRUB,1,2,7,0.2,0.36,0.64
USDRUB,1,2,8,0.3,0.35,0.64
USDRUB,1,2,9,0.4,0.35,0.66
USDRUB,1,2,10,0.5,0.22,0.66
USDRUB,1,3,11,1.0,0.35,0.71
USDRUB,2,1,1,0.01,0.53,0.81
USDRUB,2,1,2,0.02,0.43,0.81
USDRUB,2,1,3,0.03,0.53,0.80
USDRUB,2,1,4,0.04,0.57,0.81
USDRUB,2,1,5,0.05,0.33,0.58
USDRUB,2,2,6,0.1,0.30,0.55
USDRUB,2,2,7,0.2,0.24,0.57
USDRUB,2,2,8,0.3,0.32,0.55
USDRUB,2,2,9,0.4,0.36,0.55
USDRUB,2,2,10,0.5,0.34,0.56
USDRUB,2,3,11,1.0,0.35,0.65
USDRUB,2,3,12,1.5,0.32,0.69
USDRUB,3,1,1,0.01,0.48,0.74
USDRUB,3,1,2,0.02,0.49,0.76
USDRUB,3,1,3,0.03,0.37,0.77
USDRUB,3,1,4,0.04,0.21,0.55
USDRUB,3,1,5,0.05,0.29,0.53
USDRUB,3,2,6,0.1,0.30,0.50
USDRUB,3,2,7,0.2,0.26,0.50
USDRUB,3,2,8,0.3,0.30,0.50
USDRUB,3,2,9,0.4,0.30,0.52
USDRUB,3,2,10,0.5,0.33,0.53
USDRUB,3,3,11,1.0,0.29,0.53
USDRUB,3,3,12,1.5,0.42,0.65
USDRUB,3,3,13,2.0,0.39,0.68
USDRUB,4,1,1,0.01,0.46,0.71
USDRUB,4,1,2,0.02,0.47,0.72
USDRUB,4,1,3,0.03,0.42,0.73
USDRUB,4,1,4,0.04,0.48,0.73
USDRUB,4,1,5,0.05,0.46,0.73
USDRUB,4,2,6,0.1,0.30,0.52
USDRUB,4,2,7,0.2,0.29,0.48
USDRUB,4,2,8,0.3,0.32,0.48
USDRUB,4,2,9,0.4,0.28,0.50
USDRUB,4,2,10,0.5,0.28,0.55
USDRUB,4,3,11,1.0,0.28,0.49
USDRUB,4,3,12,1.5,0.27,0.56
USDRUB,4,3,13,2.0,0.31,0.60
USDRUB,4,3,14,2.5,0.35,0.63
USDRUB,5,1,1,0.01,0.51,0.69
USDRUB,5,1,2,0.02,0.41,0.71
USDRUB,5,1,3,0.03,0.27,0.69
USDRUB,5,1,4,0.04,0.48,0.67
USDRUB,5,1,5,0.05,0.41,0.68
USDRUB,5,2,6,0.1,0.21,0.53
USDRUB,5,2,7,0.2,0.28,0.51
USDRUB,5,2,8,0.3,0.32,0.49
USDRUB,5,2,9,0.4,0.25,0.46
USDRUB,5,2,10,0.5,0.25,0.48
USDRUB,5,3,11,1.0,0.23,0.50
USDRUB,5,3,12,1.5,0.29,0.51
USDRUB,5,3,13,2.0,0.38,0.57
USDRUB,5,3,14,2.5,0.29,0.58
USDRUB,6,1,1,0.01,0.44,0.65
USDRUB,6,1,2,0.02,0.35,0.65
USDRUB,6,1,3,0.03,0.37,0.66
USDRUB,6,1,4,0.04,0.47,0.67
USDRUB,6,1,5,0.05,0.45,0.65
USDRUB,6,2,6,0.1,0.43,0.63
USDRUB,6,2,7,0.2,0.25,0.51
USDRUB,6,2,8,0.3,0.28,0.46
USDRUB,6,2,9,0.4,0.26,0.51
USDRUB,6,2,10,0.5,0.26,0.46
USDRUB,6,3,11,1.0,0.28,0.49
USDRUB,6,3,12,1.5,0.30,0.48
USDRUB,6,3,13,2.0,0.32,0.50
USDRUB,6,3,14,2.5,0.28,0.59
USDRUB,6,3,15,3.0,0.21,0.59
USDRUB,7,1,1,0.01,0.36,0.64
USDRUB,7,1,2,0.02,0.31,0.63
USDRUB,7,1,3,0.03,0.33,0.66
USDRUB,7,1,4,0.04,0.41,0.63
USDRUB,7,1,5,0.05,0.41,0.64
USDRUB,7,2,6,0.1,0.36,0.71
USDRUB,7,2,7,0.2,0.27,0.44
USDRUB,7,2,8,0.3,0.27,0.44
USDRUB,7,2,9,0.4,0.22,0.45
USDRUB,7,2,10,0.5,0.25,0.47
USDRUB,7,3,11,1.0,0.26,0.44
USDRUB,7,3,12,1.5,0.22,0.47
USDRUB,7,3,13,2.0,0.31,0.49
USDRUB,7,3,14,2.5,0.26,0.55
USDRUB,7,3,15,3.0,0.27,0.51
USDCNY,1,1,1,0.01,0.35,0.72
USDCNY,1,1,2,0.02,0.39,0.62
USDCNY,1,1,3,0.03,0.38,0.66
USDCNY,1,1,4,0.04,0.32,0.66
USDCNY,1,1,5,0.05,0.32,0.70
USDCNY,1,2,6,0.1,0.29,0.65
USDCNY,1,2,7,0.2,0.35,0.64
USDCNY,1,2,8,0.3,0.42,0.64
USDCNY,1,2,9,0.4,0.39,0.77
USDCNY,2,1,1,0.01,0.41,0.86
USDCNY,2,1,2,0.02,0.30,0.58
USDCNY,2,1,3,0.03,0.28,0.63
USDCNY,2,1,4,0.04,0.29,0.56
USDCNY,2,1,5,0.05,0.23,0.58
USDCNY,2,2,6,0.1,0.31,0.57
USDCNY,2,2,7,0.2,0.33,0.62
USDCNY,2,2,8,0.3,0.36,0.60
USDCNY,2,2,9,0.4,0.33,0.62
USDCNY,2,2,10,0.5,0.34,0.64
USDCNY,3,1,1,0.01,0.39,0.77
USDCNY,3,1,2,0.02,0.27,0.52
USDCNY,3,1,3,0.03,0.24,0.59
USDCNY,3,1,4,0.04,0.28,0.55
USDCNY,3,1,5,0.05,0.25,0.58
USDCNY,3,2,6,0.1,0.26,0.51
USDCNY,3,2,7,0.2,0.29,0.52
USDCNY,3,2,8,0.3,0.31,0.54
USDCNY,3,2,9,0.4,0.32,0.58
USDCNY,3,2,10,0.5,0.33,0.63
USDCNY,4,1,1,0.01,0.54,0.78
USDCNY,4,1,2,0.02,0.39,0.78
USDCNY,4,1,3,0.03,0.31,0.55
USDCNY,4,1,4,0.04,0.29,0.54
USDCNY,4,1,5,0.05,0.18,0.56
USDCNY,4,2,6,0.1,0.30,0.49
USDCNY,4,2,7,0.2,0.25,0.51
USDCNY,4,2,8,0.3,0.33,0.53
USDCNY,4,2,9,0.4,0.28,0.55
USDCNY,4,2,10,0.5,0.29,0.58
USDCNY,5,1,1,0.01,0.35,0.70
USDCNY,5,1,2,0.02,0.33,0.71
USDCNY,5,1,3,0.03,0.31,0.50
USDCNY,5,1,4,0.04,0.32,0.54
USDCNY,5,1,5,0.05,0.27,0.54
USDCNY,5,2,6,0.1,0.28,0.53
USDCNY,5,2,7,0.2,0.28,0.47
USDCNY,5,2,8,0.3,0.35,0.52
USDCNY,5,2,9,0.4,0.34,0.50
USDCNY,5,2,10,0.5,0.26,0.55
USDCNY,6,1,1,0.01,0.42,0.68
USDCNY,6,1,2,0.02,0.35,0.69
