Pair,Horizon,Magnitude,Position,Threshold,Low,High
AUDUSD,1,1,1,0.01,0.89,0.96
AUDUSD,1,1,2,0.02,0.89,0.97
AUDUSD,1,1,3,0.03,0.36,0.61
AUDUSD,1,1,4,0.04,0.32,0.65
AUDUSD,1,1,5,0.05,0.36,0.59
AUDUSD,1,2,6,0.1,0.34,0.64
AUDUSD,1,2,7,0.2,0.40,0.64
AUDUSD,1,2,8,0.3,0.36,0.59
AUDUSD,1,2,9,0.4,0.35,0.62
AUDUSD,1,2,10,0.5,0.35,0.62
AUDUSD,2,1,1,0.01,0.52,0.80
AUDUSD,2,1,2,0.02,0.48,0.82
AUDUSD,2,1,3,0.03,0.67,0.84
AUDUSD,2,1,4,0.04,0.26,0.59
AUDUSD,2,1,5,0.05,0.18,0.59
AUDUSD,2,2,6,0.1,0.34,0.56
AUDUSD,2,2,7,0.2,0.28,0.56
AUDUSD,2,2,8,0.3,0.34,0.56
AUDUSD,2,2,9,0.4,0.35,0.53
AUDUSD,2,2,10,0.5,0.27,0.59
AUDUSD,2,3,11,1.0,0.39,0.62
AUDUSD,3,1,1,0.01,0.34,0.77
AUDUSD,3,1,2,0.02,0.43,0.79
AUDUSD,3,1,3,0.03,0.41,0.76
AUDUSD,3,1,4,0.04,0.47,0.78
AUDUSD,3,1,5,0.05,0.21,0.49
AUDUSD,3,2,6,0.1,0.25,0.49
AUDUSD,3,2,7,0.2,0.17,0.53
AUDUSD,3,2,8,0.3,0.27,0.53
AUDUSD,3,2,9,0.4,0.36,0.55
AUDUSD,3,2,10,0.5,0.22,0.53
AUDUSD,3,3,11,1.0,0.27,0.56
AUDUSD,3,3,12,1.5,0.34,0.56
AUDUSD,4,1,1,0.01,0.42,0.75
AUDUSD,4,1,2,0.02,0.15,0.76
AUDUSD,4,1,3,0.03,0.37,0.79
AUDUSD,4,1,4,0.04,0.42,0.76
AUDUSD,4,1,5,0.05,0.22,0.55
AUDUSD,4,2,6,0.1,0.26,0.47
AUDUSD,4,2,7,0.2,0.20,0.46
AUDUSD,4,2,8,0.3,0.27,0.52
AUDUSD,4,2,9,0.4,0.24,0.51
AUDUSD,4,2,10,0.5,0.14,0.50
AUDUSD,4,3,11,1.0,0.30,0.55
AUDUSD,4,3,12,1.5,0.17,0.58
AUDUSD,5,1,1,0.01,0.32,0.74
AUDUSD,5,1,2,0.02,0.38,0.75
AUDUSD,5,1,3,0.03,0.36,0.75
AUDUSD,5,1,4,0.04,0.31,0.73
AUDUSD,5,1,5,0.05,0.43,0.73
AUDUSD,5,2,6,0.1,0.19,0.46
AUDUSD,5,2,7,0.2,0.22,0.45
AUDUSD,5,2,8,0.3,0.18,0.49
AUDUSD,5,2,9,0.4,0.25,0.47
AUDUSD,5,2,10,0.5,0.24,0.46
AUDUSD,5,3,11,1.0,0.16,0.54
AUDUSD,5,3,12,1.5,0.17,0.55
AUDUSD,5,3,13,2.0,0.38,0.64
AUDUSD,6,1,1,0.01,0.34,0.65
AUDUSD,6,1,2,0.02,0.30,0.67
AUDUSD,6,1,3,0.03,0.35,0.68
AUDUSD,6,1,4,0.04,0.27,0.66
AUDUSD,6,1,5,0.05,0.31,0.70
AUDUSD,6,2,6,0.1,0.20,0.47
AUDUSD,6,2,7,0.2,0.18,0.44
AUDUSD,6,2,8,0.3,0.17,0.46
AUDUSD,6,2,9,0.4,0.20,0.46
AUDUSD,6,2,10,0.5,0.20,0.44
AUDUSD,6,3,11,1.0,0.22,0.45
AUDUSD,6,3,12,1.5,0.24,0.48
AUDUSD,6,3,13,2.0,0.18,0.49
AUDUSD,6,3,14,2.5,0.17,0.56
AUDUSD,7,1,1,0.01,0.33,0.69
AUDUSD,7,1,2,0.02,0.36,0.59
AUDUSD,7,1,3,0.03,0.31,0.63
AUDUSD,7,1,4,0.04,0.29,0.63
AUDUSD,7,1,5,0.05,0.30,0.62
AUDUSD,7,2,6,0.1,0.31,0.63
AUDUSD,7,2,7,0.2,0.13,0.41
AUDUSD,7,2,8,0.3,0.20,0.42
AUDUSD,7,2,9,0.4,0.16,0.45
AUDUSD,7,2,10,0.5,0.22,0.42
AUDUSD,7,3,11,1.0,0.26,0.44
AUDUSD,7,3,12,1.5,0.22,0.48
AUDUSD,7,3,13,2.0,0.19,0.48
AUDUSD,7,3,14,2.5,0.19,0.50
AUDUSD,7,3,15,3.0,0.27,0.51
USDMXN,1,1,1,0.01,0.91,0.97
USDMXN,1,1,2,0.02,0.92,0.99
USDMXN,1,1,3,0.03,0.37,0.64
USDMXN,1,1,4,0.04,0.41,0.64
USDMXN,1,1,5,0.05,0.30,0.62
USDMXN,1,2,6,0.1,0.35,0.67
USDMXN,1,2,7,0.2,0.36,0.62
USDMXN,1,2,8,0.3,0.41,0.63
USDMXN,1,2,9,0.4,0.36,0.62
USDMXN,1,2,10,0.5,0.38,0.67
USDMXN,1,3,11,1.0,0.30,0.64
USDMXN,2,1,1,0.01,0.57,0.83
USDMXN,2,1,2,0.02,0.53,0.86
USDMXN,2,1,3,0.03,0.52,0.86
USDMXN,2,1,4,0.04,0.61,0.86
USDMXN,2,1,5,0.05,0.23,0.55
USDMXN,2,2,6,0.1,0.35,0.54
USDMXN,2,2,7,0.2,0.18,0.55
USDMXN,2,2,8,0.3,0.25,0.55
USDMXN,2,2,9,0.4,0.25,0.57
USDMXN,2,2,10,0.5,0.32,0.56
USDMXN,2,3,11,1.0,0.38,0.58
USDMXN,2,3,12,1.5,0.35,0.62
USDMXN,3,1,1,0.01,0.42,0.78
USDMXN,3,1,2,0.02,0.45,0.79
USDMXN,3,1,3,0.03,0.45,0.81
USDMXN,3,1,4,0.04,0.29,0.78
USDMXN,3,1,5,0.05,0.46,0.80
USDMXN,3,2,6,0.1,0.25,0.50
USDMXN,3,2,7,0.2,0.30,0.47
USDMXN,3,2,8,0.3,0.25,0.51
USDMXN,3,2,9,0.4,0.24,0.50
USDMXN,3,2,10,0.5,0.30,0.54
USDMXN,3,3,11,1.0,0.27,0.53
USDMXN,3,3,12,1.5,0.39,0.57
USDMXN,3,3,13,2.0,0.40,0.62
USDMXN,4,1,1,0.01,0.42,0.78
USDMXN,4,1,2,0.02,0.47,0.78
USDMXN,4,1,3,0.03,0.40,0.77
USDMXN,4,1,4,0.04,0.35,0.77
USDMXN,4,1,5,0.05,0.44,0.76
USDMXN,4,2,6,0.1,0.19,0.47
USDMXN,4,2,7,0.2,0.23,0.51
USDMXN,4,2,8,0.3,0.15,0.49
USDMXN,4,2,9,0.4,0.24,0.52
USDMXN,4,2,10,0.5,0.26,0.47
USDMXN,4,3,11,1.0,0.30,0.49
USDMXN,4,3,12,1.5,0.36,0.55
USDMXN,4,3,13,2.0,0.28,0.58
USDMXN,4,3,14,2.5,0.39,0.63
USDMXN,5,1,1,0.01,0.33,0.69
USDMXN,5,1,2,0.02,0.39,0.69
USDMXN,5,1,3,0.03,0.32,0.76
USDMXN,5,1,4,0.04,0.31,0.71
USDMXN,5,1,5,0.05,0.33,0.70
USDMXN,5,2,6,0.1,0.16,0.46
USDMXN,5,2,7,0.2,0.26,0.45
USDMXN,5,2,8,0.3,0.26,0.48
USDMXN,5,2,9,0.4,0.22,0.48
USDMXN,5,2,10,0.5,0.20,0.46
USDMXN,5,3,11,1.0,0.28,0.51
USDMXN,5,3,12,1.5,0.22,0.47
USDMXN,5,3,13,2.0,0.29,0.58
USDMXN,5,3,14,2.5,0.23,0.54
USDMXN,5,3,15,3.0,0.39,0.69
USDMXN,6,1,1,0.01,0.35,0.66
USDMXN,6,1,2,0.02,0.29,0.67
USDMXN,6,1,3,0.03,0.38,0.68
USDMXN,6,1,4,0.04,0.26,0.63
USDMXN,6,1,5,0.05,0.37,0.65
USDMXN,6,2,6,0.1,0.20,0.48
USDMXN,6,2,7,0.2,0.23,0.46
USDMXN,6,2,8,0.3,0.22,0.41
USDMXN,6,2,9,0.4,0.15,0.45
USDMXN,6,2,10,0.5,0.18,0.42
USDMXN,6,3,11,1.0,0.21,0.40
USDMXN,6,3,12,1.5,0.20,0.45
USDMXN,6,3,13,2.0,0.24,0.48
USDMXN,6,3,14,2.5,0.21,0.54
USDMXN,6,3,15,3.0,0.27,0.52
USDMXN,7,1,1,0.01,0.30,0.67
USDMXN,7,1,2,0.02,0.32,0.63
USDMXN,7,1,3,0.03,0.27,0.66
USDMXN,7,1,4,0.04,0.31,0.63
USDMXN,7,1,5,0.05,0.33,0.65
USDMXN,7,2,6,0.1,0.31,0.66
USDMXN,7,2,7,0.2,0.14,0.47
USDMXN,7,2,8,0.3,0.16,0.42
USDMXN,7,2,9,0.4,0.17,0.40
USDMXN,7,2,10,0.5,0.21,0.39
USDMXN,7,3,11,1.0,0.21,0.44
USDMXN,7,3,12,1.5,0.21,0.45
USDMXN,7,3,13,2.0,0.23,0.45
USDMXN,7,3,14,2.5,0.15,0.46
USDMXN,7,3,15,3.0,0.27,0.48
EURJPY,1,1,1,0.01,0.89,0.95
EURJPY,1,1,2,0.02,0.36,0.64
EURJPY,1,1,3,0.03,0.33,0.63
EURJPY,1,1,4,0.04,0.39,0.64
EURJPY,1,1,5,0.05,0.41,0.66
EURJPY,1,2,6,0.1,0.43,0.64
EURJPY,1,2,7,0.2,0.35,0.64
EURJPY,1,2,8,0.3,0.40,0.65
EURJPY,1,2,9,0.4,0.41,0.67
EURJPY,1,2,10,0.5,0.41,0.61
EURJPY,2,1,1,0.01,0.53,0.83
EURJPY,2,1,2,0.02,0.52,0.83
EURJPY,2,1,3,0.03,0.49,0.84
EURJPY,2,1,4,0.04,0.30,0.56
EURJPY,2,1,5,0.05,0.27,0.57
EURJPY,2,2,6,0.1,0.29,0.55
EURJPY,2,2,7,0.2,0.24,0.53
EURJPY,2,2,8,0.3,0.36,0.57
EURJPY,2,2,9,0.4,0.31,0.60
EURJPY,2,2,10,0.5,0.35,0.62
EURJPY,2,3,11,1.0,0.45,0.77
EURJPY,3,1,1,0.01,0.43,0.74
EURJPY,3,1,2,0.02,0.45,0.75
EURJPY,3,1,3,0.03,0.37,0.73
EURJPY,3,1,4,0.04,0.25,0.49
EURJPY,3,1,5,0.05,0.19,0.49
EURJPY,3,2,6,0.1,0.25,0.50
EURJPY,3,2,7,0.2,0.20,0.55
EURJPY,3,2,8,0.3,0.27,0.51
EURJPY,3,2,9,0.4,0.34,0.54
EURJPY,3,2,10,0.5,0.18,0.53
EURJPY,3,3,11,1.0,0.32,0.63
EURJPY,4,1,1,0.01,0.33,0.69
EURJPY,4,1,2,0.02,0.39,0.70
EURJPY,4,1,3,0.03,0.40,0.71
EURJPY,4,1,4,0.04,0.24,0.44
EURJPY,4,1,5,0.05,0.20,0.46
EURJPY,4,2,6,0.1,0.22,0.46
EURJPY,4,2,7,0.2,0.28,0.48
EURJPY,4,2,8,0.3,0.17,0.53
EURJPY,4,2,9,0.4,0.35,0.49
EURJPY,4,2,10,0.5,0.20,0.48
EURJPY,4,3,11,1.0,0.36,0.54
EURJPY,4,3,12,1.5,0.37,0.57
EURJPY,5,1,1,0.01,0.33,0.67
EURJPY,5,1,2,0.02,0.37,0.67
EURJPY,5,1,3,0.03,0.39,0.67
EURJPY,5,1,4,0.04,0.42,0.69
EURJPY,5,1,5,0.05,0.37,0.67
EURJPY,5,2,6,0.1,0.20,0.46
EURJPY,5,2,7,0.2,0.24,0.43
EURJPY,5,2,8,0.3,0.27,0.44
EURJPY,5,2,9,0.4,0.22,0.44
EURJPY,5,2,10,0.5,0.21,0.48
EURJPY,5,3,11,1.0,0.31,0.51
EURJPY,5,3,12,1.5,0.24,0.58
EURJPY,6,1,1,0.01,0.33,0.64
EURJPY,6,1,2,0.02,0.32,0.64
EURJPY,6,1,3,0.03,0.37,0.66
EURJPY,6,1,4,0.04,0.34,0.66
EURJPY,6,1,5,0.05,0.35,0.65
EURJPY,6,2,6,0.1,0.20,0.45
EURJPY,6,2,7,0.2,0.18,0.41
EURJPY,6,2,8,0.3,0.16,0.41
EURJPY,6,2,9,0.4,0.18,0.41
EURJPY,6,2,10,0.5,0.21,0.42
EURJPY,6,3,11,1.0,0.21,0.46
EURJPY,6,3,12,1.5,0.23,0.47
EURJPY,6,3,13,2.0,0.32,0.68
EURJPY,6,3,14,2.5,0.32,0.70
EURJPY,7,1,1,0.01,0.28,0.63
EURJPY,7,1,2,0.02,0.32,0.64
EURJPY,7,1,3,0.03,0.37,0.64
EURJPY,7,1,4,0.04,0.31,0.62
EURJPY,7,1,5,0.05,0.30,0.65
EURJPY,7,2,6,0.1,0.22,0.48
EURJPY,7,2,7,0.2,0.23,0.46
EURJPY,7,2,8,0.3,0.19,0.44
EURJPY,7,2,9,0.4,0.21,0.43
EURJPY,7,2,10,0.5,0.22,0.45
EURJPY,7,3,11,1.0,0.23,0.43
EURJPY,7,3,12,1.5,0.23,0.48
EURJPY,7,3,13,2.0,0.26,0.49
EURJPY,7,3,14,2.5,0.31,0.62
EURJPY,7,3,15,3.0,0.33,0.63
USDCNY,1,1,1,0.01,0.42,0.69
USDCNY,1,1,2,0.02,0.41,0.69
USDCNY,1,1,3,0.03,0.34,0.65
USDCNY,1,1,4,0.04,0.42,0.64
USDCNY,1,1,5,0.05,0.32,0.67
USDCNY,1,2,6,0.1,0.37,0.64
USDCNY,1,2,7,0.2,0.40,0.71
USDCNY,1,2,8,0.3,0.35,0.66
USDCNY,1,2,9,0.4,0.40,0.65
USDCNY,2,1,1,0.01,0.74,0.84
USDCNY,2,1,2,0.02,0.23,0.56
USDCNY,2,1,3,0.03,0.30,0.54
USDCNY,2,1,4,0.04,0.22,0.53
USDCNY,2,1,5,0.05,0.32,0.54
USDCNY,2,2,6,0.1,0.33,0.55
USDCNY,2,2,7,0.2,0.36,0.56
USDCNY,2,2,8,0.3,0.42,0.58
